Year,Month,DayofMonth,DayOfWeek,DepTime,CRSDepTime,ArrTime,CRSArrTime,UniqueCarrier,FlightNum,TailNum,ActualElapsedTime,CRSElapsedTime,AirTime,ArrDelay,DepDelay,Origin,Dest,Distance,TaxiIn,TaxiOut,Cancelled,CancellationCode,Diverted,CarrierDelay,WeatherDelay,NASDelay,SecurityDelay,LateAircraftDelay
1991,1,1,2,1709,1705,1944,1944,US,112,NA,155,159,NA,0,4,TPA,SYR,1104,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1991,1,2,3,1704,1705,1946,1944,US,112,NA,162,159,NA,2,-1,TPA,SYR,1104,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1991,1,3,4,1705,1705,1934,1944,US,112,NA,149,159,NA,-10,0,TPA,SYR,1104,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1991,1,4,5,1709,1705,1951,1944,US,112,NA,162,159,NA,7,4,TPA,SYR,1104,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1991,1,5,6,1703,1705,1936,1944,US,112,NA,153,159,NA,-8,-2,TPA,SYR,1104,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1991,1,6,7,1711,1705,1949,1944,US,112,NA,158,159,NA,5,6,TPA,SYR,1104,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1991,1,7,1,1711,1705,1946,1944,US,112,NA,155,159,NA,2,6,TPA,SYR,1104,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1991,1,8,2,1704,1705,1934,1944,US,112,NA,150,159,NA,-10,-1,TPA,SYR,1104,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1991,1,9,3,1805,1705,2042,1944,US,112,NA,157,159,NA,58,60,TPA,SYR,1104,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1991,1,10,4,1703,1705,1946,1944,US,112,NA,163,159,NA,2,-2,TPA,SYR,1104,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1991,1,11,5,1706,1705,2014,1944,US,112,NA,188,159,NA,30,1,TPA,SYR,1104,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1991,1,12,6,1702,1705,1926,1944,US,112,NA,144,159,NA,-18,-3,TPA,SYR,1104,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1991,1,13,7,1705,1705,1941,1944,US,112,NA,156,159,NA,-3,0,TPA,SYR,1104,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1991,1,14,1,1703,1705,1942,1944,US,112,NA,159,159,NA,-2,-2,TPA,SYR,1104,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1991,1,15,2,1701,1705,1932,1944,US,112,NA,151,159,NA,-12,-4,TPA,SYR,1104,NA,NA,0,NA,0,NA,NA,NA,NA,NA
1991,1,16,3,1723,1705,1945,1944,US,112,NA,142,159,NA,1,18,TPA,SYR,1104,NA,NA,0,NA,0,NA,NA,NA,NA,NA
